Edit date,Editing user,Minor edit or not,Resulting page size in bytes,Edit comment
"00:02, 26 August 2006","x","","101,046",""
"17:04, 25 August 2006","BakBOT","","101,067","Reverting possible vandalism by Special:Contributions/Alejandrosanchez see here). If this is a mistake, report it. Thanks, BakBOT. Bot)"
"17:04, 25 August 2006","Alejandrosanchez","minor","20","?Replaced page with 'Paraiso is BULL'"
"15:39, 25 August 2006","Ricarda","","101,067","Undid revision xxxxxxxxx by 86.135.211.x talk)"
"15:26, 25 August 2006","86.135.211.x","","101,373","A fair introductive summary added."
"07:04, 25 August 2006","Abelardo","minor","101,067","Reverted edits by 89.57.190.x talk) to last version by Agustin"
"07:04, 25 August 2006","89.57.190.x","","101,162","?Origins"
"13:50, 24 August 2006","Agustin","minor","101,067","rv 3 vandalism edits to last version by Curcio"
"08:34, 24 August 2006","144.134.117.x","","101,061","?Beliefs and practices"
"08:25, 24 August 2006","71.231.123.x","","101,074","?Beliefs and practices"
"08:23, 24 August 2006","71.231.123.x","","101,074","?Beliefs and practices"
"06:06, 24 August 2006","Curcio","","101,067","Undid revision xxxxxxxxx by o10101100 talk)"
"06:06, 24 August 2006","o10101100","minor","","Corrected grammatical errors"
"06:02, 24 August 2006","Sara","","101,067","more concise, at least one court and BBC made this statement word-for-word"
"05:56, 24 August 2006","Salvadora","","101,058","Undid revision xxxxxxxxx by o10101100 talk) - That was not spelling correction that is vandalism."
"05:53, 24 August 2006","o10101100","minor","","Corrected grammatical errors"
"05:33, 24 August 2006","80.175.28.x","","101,058","Undid revision xxxxxxxxx by 124.186.233.x talk) double content"
"05:27, 24 August 2006","124.186.233.x","","101,090","?See also"
"03:25, 22 August 2006","Gerardmd","minor","101,058","Remove spare full stop"
"03:56, 17 August 2006","Afrox","minor","","Changed protection level for \"Paraiso\": Edit warring [edit=sysop:move=sysop] expires 03:56, 24 August 2006 UTC))"
"03:55, 17 August 2006","VictoriaV","","101,059","?External links - primary information section updated"
"03:49, 17 August 2006","Rm99","","100,841","good catch"
"03:46, 17 August 2006","Agustin","","100,851","?Critical links - Paul Bunyan has previously link-spamed Wikipedia for his sites"
"03:39, 17 August 2006","Rm99","","100,842","?Other links"
"03:37, 17 August 2006","Rm99","","100,866","?Critical links"
"03:33, 17 August 2006","VictoriaV","minor","101,037","Reverted to revision xxxxxxxxx by VictoriaV; back to where we started off. this is ridiculous. I still invite you to go to the talk page and bring ARGUMENTS!. using TW"
"03:23, 17 August 2006","Agustin","","100,894","Undid revision xxxxxxxxx by VictoriaV talk) EL removals amounting to vandalism"
"03:21, 17 August 2006","VictoriaV","minor","98,581","Reverted to revision xxxxxxxxx by VictoriaV; Rm99, also all \"positive\" secondary ones, but I didn't expect you to see that. . using TW"
"03:18, 17 August 2006","VictoriaV","","100,894","?Auditing Confidentiality - sheffield, please stick to accurate descriptions. you just faked the quote but \"improving the presentation\"."
"03:17, 17 August 2006","Rm99","","101,031","interesting ideas on WP:EL. Strangely enough, all sites critical of Paraiso are gone."
"03:11, 17 August 2006","VictoriaV","","98,581","Great idea, Agustin, if that settles the matter, I am all for it."
"03:10, 17 August 2006","Rosalinde","","101,031","?Auditing Confidentiality - match format of other quotes"
"03:06, 17 August 2006","Agustin","","100,894","?External links - If people think a site is a WP:EL, then try removing it, but don't POV the descriptions please."
"03:01, 17 August 2006","VictoriaV","minor","101,037","Reverted to revision xxxxxxxxx by Rm99; bummer, three reverts and more for Rm99 again. Let's freeze this site once more. . using TW"
"02:58, 17 August 2006","Rm99","","100,825","?Other links"
"02:57, 17 August 2006","Rm99","","100,847","?Critical links"
"02:53, 17 August 2006","Rm99","","101,037","moved tax status comment down to \"Paraiso as a state recognized religion\""
"02:27, 17 August 2006","Savanna","","100,887","Undid revision xxxxxxxxx by DailosTamanca I am reinstating my earlier citation and edits as no legit reason was given for deleting them."
"02:21, 17 August 2006","DailosTamanca","","100,084","?Paraiso as a cult - grammar, spelling"
"02:17, 17 August 2006","DailosTamanca","","100,083","Undid revision xxxxxxxxx by VictoriaV talk); restored edit incorrectly reverted as vandalism"
"02:12, 17 August 2006","VictoriaV","minor","100,886","Reverted 1 edit by Rm99 identified as vandalism to last revision by VictoriaV. using TW"
"02:09, 17 August 2006","Rm99","","100,083",""
"01:57, 17 August 2006","VictoriaV","","100,886","ok, Hartley, 200 it is"
"01:51, 17 August 2006","VictoriaV","minor","100,886","Reverted 1 edit by Rm99 identified as vandalism to last revision by VictoriaV. using TW"
"01:44, 17 August 2006","Rm99","","100,083",""
"01:25, 17 August 2006","VictoriaV","minor","100,886","Reverted 1 edit by Eunispero to last revision by VictoriaV; Sorry, mister, but it is a WP violating ANONYMOUS ra-ra blog of alleged interviews. anyone can edit this.. using [[WP:TWINKLE"
"01:22, 17 August 2006","Eunispero","","100,871","update on external link description"
"17:31, 16 August 2006","VictoriaV","","100,886","Commercial book promotion moved in EL section."
"13:07, 16 August 2006","Kusaja","minor","100,953","typo"
"13:05, 16 August 2006","Kusaja","","100,953","new  article"
"17:52, 15 August 2006","VictoriaV","","100,763","?Paraiso as a cult - see talk page"
"05:14, 15 August 2006","VictoriaV","","100,865","?Free Zone links - dead link removed"
"05:09, 15 August 2006","Savanna","","100,943","Undid revision xxxxxxxxx by Agustin talk) I've expressed my views on this on the talk page."
"04:34, 15 August 2006","Agustin","minor","100,849","Undid revision xxxxxxxxx by VictoriaV talk) My changes remove POV from both sides and you must be way over 3RR for this section of the ar"
"04:29, 15 August 2006","VictoriaV","","100,943","Undid revision xxxxxxxxx. Go ahead, but stop destroying my edits."
"04:16, 15 August 2006","Agustin","minor","100,849","Undid revision xxxxxxxxx by VictoriaV talk) Yes, please let's discuss WP:EL"
"04:14, 15 August 2006","VictoriaV","","100,943","Undid revision xxxxxxxxx. Sorry, this is POV-pushing an unacceptable. Most of those ELs are violating WP:EL and you know it. Don't try to cover it up."
"03:13, 15 August 2006","Agustin","","100,849","?External links - Stripped added POV from I.C. and Critics sites. \"Paraiso-related\" as per IRS agreement)"
"01:19, 15 August 2006","Sara","minor","100,943","Undid revision xxxxxxxxx by VictoriaV talk) wording and/or)"
"23:48, 14 August 2006","VictoriaV","minor","100,975","Reverted 1 edit by DailosTamanca to last revision by VictoriaV; Show me a GOVERNMENT who said that. this is intentionally worded that way.. using TW"
"23:42, 14 August 2006","DailosTamanca","","100,943","grammar, terseness"
"23:36, 14 August 2006","VictoriaV","minor","100,975","Reverted to revision xxxxxxxxx by VictoriaV; the usual crap by Rm99. using TW"
"23:30, 14 August 2006","Rm99","","100,184","rvt due to cult vandalism"
"23:01, 14 August 2006","VictoriaV","minor","100,975","Reverted 1 edit by Rm99 identified as vandalism to last revision by VictoriaV. using TW"
"22:58, 14 August 2006","Rm99","","100,184",""
"22:57, 14 August 2006","VictoriaV","minor","100,975","Reverted 2 edits by Rm99 to last revision by Agustin; POV pushing, rv attempt to whitewash private hate sites. using TW"
"22:55, 14 August 2006","Rm99","","100,184",""
"22:51, 14 August 2006","Rm99","","100,185","restored intro"
"21:05, 14 August 2006","Agustin","","100,975","?Origins"
"20:32, 14 August 2006","VictoriaV","","100,683","Private hobby pages are non-RS, Personal critics' pages quoting personal critics are even worse. I think there are other refs for this sentence. Put them there."
"20:24, 14 August 2006","Amado","","100,824","?Paraiso and other religions - added citation"
"19:53, 14 August 2006","Agustin","minor","100,700","Undid revision xxxxxxxxx by KesheR talk) No cite that Paraiso goals work better with more contributions"
"19:43, 14 August 2006","KesheR","","100,777","?Beliefs and practices"
"19:06, 14 August 2006","Sara","","100,700","rv.  pp. 112 - 130)"
"18:29, 14 August 2006","VictoriaV","","100,559","This is Raymond Shores's anti-P page quoting private anti-sect fanatic Jose Contrera, incorrectly used as ref. removed as incompatible w WP:RS and tagged"
"17:43, 14 August 2006","DailosTamanca","","100,700","?Critical links - removed unnecessary whois link"
"17:16, 14 August 2006","VictoriaV","minor","100,781","?Other links"
"17:09, 14 August 2006","VictoriaV","minor","100,839","?Critical links - correction still nothing positive, weighted or even neutral to be found there)"
"17:08, 14 August 2006","VictoriaV","","100,835","?Critical links - let's get this in perspective here."
"16:44, 14 August 2006","VictoriaV","minor","100,699","Reverted to revision xxxxxxxxx by Savanna; private hobby sites rved. using TW"
"13:08, 14 August 2006","Hinzel","","101,192","?Critical links"
"13:04, 14 August 2006","Hinzel","","101,104","?Critical links"
"13:03, 14 August 2006","Hinzel","","101,105","?Critical links"
"13:02, 14 August 2006","Hinzel","","100,999","?Critical links"
"13:00, 14 August 2006","Hinzel","","100,909","?Critical links"
"12:57, 14 August 2006","Hinzel","","100,779","?Critical links"
"12:56, 14 August 2006","Hinzel","","100,778","?Critical links"
"03:00, 14 August 2006","Savanna","","100,699","Found good reference to cite for presenting Catalano's refuting of these claims."
"02:30, 14 August 2006","Savanna","","99,890","Handling DailosTamanca's objection to my earlier edit. Including citations I deleted and combining into one phrase presenting both viewpoints."
"19:05, 12 August 2006","N3ls0n","","99,907",""
"01:47, 12 August 2006","Gracia","","99,909","rv - vandalism"
"01:41, 12 August 2006","Margaviota","","99,962","?Beliefs and practices"
"01:39, 12 August 2006","Margaviota","","99,943","?Beliefs and practices"
"17:12, 11 August 2006","Matdrodes","","99,909","corrected wikicode for image"
"16:42, 11 August 2006","Gerardmd","","99,907","Clean up refs a little"
